gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
A1BG,2.96788076331492,2.666636002330125,1.1129680844035574,0.1343198325813239,2.241854124171368,5,0,0,0.3384214680264375,4.534966510131198
A1CF,0.2644353378827276,0.2071110044792583,1.2767807222392678,0.1435711347734631,2.139259965677411,6,0,0,0.06905713064285712,10.22684014303923
A2M,1.447174292296923,1.256807103155929,1.1514688997722635,0.003402025061591152,8.578248250472825,6,3,0,0,86.86709090453223
A2ML1,1.090284481159472,1.111114621243088,0.9812529331489566,0.7336204106602143,0.1158133154094685,6,2,0,4.936273612088371e-12,61.89234121471236
A3GALT2,0.93621813052565,1.502333367162156,0.6231760213740885,0.0003935643764001462,12.56250244528201,4,0,0,0.1270308123071084,5.70223526560585
A4GALT,1.210421296790658,1.232180614327423,0.9823408051678835,0.8761822673861235,0.02427696193262818,6,0,0,0.001386437986653277,19.75954209444171
A4GNT,1.341885059395813,1.098142426137778,1.2219590350545786,0.0592189478344366,3.559124982730282,6,0,1,0.003342769647780353,17.70288845111645
AAAS,0.3649042476305185,0.3212674690634917,1.1358269441167819,0.4385301363310122,0.6001255258670426,6,0,0,0.3303085413532267,5.759692503314
AACS,0.6331351126216156,0.4748750420475041,1.333266768225482,0.01160651517216393,6.370006788885803,5,0,1,0.0001174296014773146,23.16386694831453
AADAC,1.643392040928314,1.659006211332634,0.9905882387313201,0.9195912610028156,0.01019062032719376,5,0,1,1.104419398156864e-07,38.03054287884152
AADACL2,2.739836909966379,1.568208604684687,1.7471125345070189,6.245004513516506e-13,51.76837857987266,6,5,0,0,121.1587165445999
AADACL3,2.518572964359302,1.969900467705103,1.278528030044783,0.00895232526594325,6.832313177550532,5,0,0,0.004103018881175924,15.30812189685093
AADACL4,4.221404152731603,2.711926011996824,1.5566074199875872,2.647391750265626e-09,35.42737934680918,5,0,1,8.872121907810282e-06,28.72933419274341
AADAT,1.0317277595758,0.9312973150159682,1.1078392935752315,0.3132521362319985,1.016914003776037,6,0,0,0.004322153976543452,17.09552243814687
AAED1,1.180552047783154,0.6756924062396471,1.7471737685393622,0.3825618037782249,0.7624534724013756,2,0,0,0.2810368851730434,1.162068883479151
AAED1,0.6506776683537773,0.7264681900111668,0.8956726217341677,0.5600285614515178,0.3396547727688812,5,0,0,0.2497771756517126,5.387714617683741
AAGAB,0.2984482773842391,0.4726705109937619,0.6314087095401175,0.01781294374256404,5.61445266073315,6,0,0,0.2000214526625075,7.288962443342825
AAK1,0.2130136022874357,0.2552785749633821,0.8344358797756177,0.1870030653950523,1.7410719149957,6,0,0,0.6740347325343006,3.168445631879877
AAMDC,0.3218976897683674,0.341683629729067,0.9420928067979476,0.8479333701204237,0.03677034790916878,6,0,0,0.291106151316747,6.1584376573187
AAMP,0.07675421061850884,0.1273823553308314,0.6025497834387381,0.1073232545179044,2.593200774555953,6,0,0,0.3958641719612681,5.16680613747576
AANAT,2.3809045076849,1.12213777231978,2.1217577434924846,4.745981385667619e-12,47.78922385252554,6,1,1,1.095346036095179e-12,65.04798764287443
AAR2,0.3186679177114741,0.3527827849582296,0.9032978118510098,0.5759241142093359,0.3128703956135723,6,0,0,0.2445545945051731,6.692222737881821
AARD,1.725429545228511,2.806600758767653,0.6147755571712051,0.00160639555124209,9.952403239141859,4,0,1,0.005707039157158422,12.55415083593653
AARS,0.1814753163498307,0.1729619408763665,1.0492210912431283,0.7497138874331901,0.1017716226851917,6,0,0,0.1298991158503899,8.518107017109287
