gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
A1BG,1.692403947899329,2.731572607291788,0.6195712840953034,1.703861313373523e-05,18.49460268890107,5,0,1,0.1158372562876683,7.407954907335807
A1CF,0.2456331212217075,0.2095102073358145,1.1724160094405005,0.5413588802120368,0.3730270356118126,5,0,0,0.3827031990397005,4.176056670712569
A2M,1.078747807536974,1.273225644792674,0.8472557962910277,0.02987656533027716,4.71638063264254,5,0,0,0.1750536967903582,6.34152206996805
A2ML1,1.28063371734883,1.103753388015444,1.1602534871049575,0.05308100928250969,3.741366763497354,5,1,1,1.318979003461784e-06,32.7896507451951
A3GALT2,2.011585294657869,1.447153164919636,1.39002929573773,0.01981975174140627,5.427701270389662,5,0,1,0.001583800431941285,17.44471190972399
A4GALT,0.8120523735031296,1.245443800309437,0.6520184799196648,0.01905489684294348,5.496470433783543,5,0,0,0.8626301931273432,1.292597649222444
A4GNT,0.7328882400275957,1.12150762716967,0.6534848468905855,0.02399301663816622,5.095137159332808,5,0,0,0.8300902601265748,1.480498203953175
AAAS,0.3856235699291545,0.3221115235655502,1.1971740894599803,0.4496546263469201,0.5715223049792257,5,0,0,0.1082464691719502,7.579683887723149
AACS,0.4806049202646086,0.4829504996298042,0.9951432302751658,1,-0.004815055290237069,5,0,0,0.502507210651234,3.340715473430464
AADAC,1.922411909439768,1.651231862478669,1.1642289330306586,0.2853118007868408,1.14161276127561,2,0,0,0.04238334707163638,4.119829603656399
AADACL2,2.011215998072315,1.633308434283552,1.2313755049912123,0.1053425930797196,2.622737063466047,3,0,0,0.002046031098479673,12.38370682394452
AADACL3,1.824095161316076,2.004918960213028,0.9098099212559998,0.4996196610791638,0.4557442245968559,5,0,0,0.3067881647930886,4.815217033654335
AADACL4,3.406509295029827,2.762834119671833,1.2329764102647063,0.02879001650491075,4.780125854558719,4,0,0,0.01824596451908744,10.03798845074198
AADAT,1.015877473833758,0.9352232183554118,1.0862406470405819,0.5800126939721351,0.3062141266746039,5,0,0,0.09555716391702329,7.893528654407419
AAED1,0.391139494737065,0.7333315330491451,0.5333733476736399,0.03950150230993554,4.239168779504325,5,0,0,0.4193097443324069,3.902875681210389
AAGAB,0.331488518864649,0.4650523353578702,0.7127983103440598,0.2272264996812987,1.458138736041292,5,0,0,0.5718429069538067,2.916805715365626
AAK1,0.1986701369562846,0.2539264366555552,0.7823924896239758,0.2577757078237927,1.280663485929836,5,0,0,0.829937208912171,1.481365050025488
AAMDC,0.4087569810897157,0.3384211747279322,1.2078351226643214,0.6645721945911449,0.1880170079248273,5,0,0,0.7260706834466584,2.052676520602745
AAMP,0.1259041479035612,0.1243103729146335,1.0128209332138531,0.9847267963499358,0.0003664655987449805,5,0,0,0.4492223534949527,3.692468034750163
