gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
A1BG,2.243661366802524,2.706948540728438,0.8288526113609666,0.05106652514903376,3.80609009089676,2,0,1,0.008030236167441251,7.026718678811449
A1CF,0.2101865419319902,0.2101391201423692,1.0002256685456228,1,-0.0001856739272625418,3,0,0,0.5654508659839917,1.140263746261553
A2M,0.9370415011813213,1.288806564699138,0.7270613968358134,5.1052712057853e-09,34.14887637668289,3,2,0,0.3929575513603096,1.868107369344216
A2ML1,0.7577682696218739,1.132772798128403,0.6689499172948702,6.721338818849176e-09,33.61382274689095,2,0,1,0.0291587754594046,4.758214827335905
A3GALT2,1.55152970502989,1.463512399305273,1.0601411411112052,0.6617713650527721,0.1913789910686319,2,0,0,9.002158838511409e-05,15.33523771653199
A4GALT,1.290288300387559,1.229328650928459,1.0495877562221132,0.728870735173279,0.1201510372811754,2,0,0,0.898444179917109,0.01628864566009725
A4GNT,1.459081338766762,1.098555806464352,1.328181354266147,0.02312162515993921,5.159344283732935,2,0,1,5.329898162742541e-05,16.32700449923504
AAAS,0.3784326875143204,0.3200393679096515,1.1824566770834068,0.2825142688848036,1.154955109603179,3,0,0,0.3887280588733062,1.889750514394109
AACS,0.4947397166934873,0.4822197059863959,1.0259632913206675,0.8260769078317115,0.04828382959385635,3,0,0,0.5561112469483647,1.173573840529571
AADAC,1.103925011919977,1.710339910586223,0.6454418826849478,1.426549930516607e-06,23.24453835909299,3,2,0,0.01784243736694413,8.052351075013576
AADACL2,0.9128061883519945,1.703321996118314,0.535897610922762,7.453243577870694e-10,37.89824033311015,3,2,0,0.1176594950578348,4.279920922286692
AADACL3,2.088076030926039,1.988710942615294,1.0499645706077692,0.5976422218050398,0.2785666588715685,3,0,1,0.0003103031219862107,16.15592185085188
AADACL4,2.953320467704944,2.776509627091933,1.0636809751667238,0.3943892933489609,0.7253662803195766,3,2,0,3.933540160261373e-10,43.312622428748
AADAT,0.7881638704493015,0.9462560564094441,0.832928745988669,0.0993167077012086,2.716481758907321,3,0,0,0.4615336734115497,1.546400525003264
AAED1,0.6285628879928571,0.7301167451884568,0.860907371506201,0.3811781735593548,0.7668987127817672,3,0,0,0.2872621334063317,2.494720246267207
AAGAB,0.3834662871019656,0.4676777211974771,0.8199370415167732,0.275280945501224,1.190241018266534,3,0,0,0.459136890388898,1.556813754365066
