gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
A1BG,4.431410913321562,4.95700252212634,0.89396987262792,0.115409725938976,2.478534731468244,2,0,0,0.02513078454724682,5.014851513726171
A1CF,1.059902595618706,1.139378402647074,0.930246345863916,0.3612404656199071,0.8335762076094397,3,0,1,0.001537848344961845,12.95474203633785
A2M,2.09378767800558,2.58950952636944,0.8085653505747573,6.679683028920635e-09,33.62591548415367,3,1,0,0.1906473545350169,3.314659737166949
A2ML1,2.010047178209355,2.433185982433458,0.8260968099935719,2.560541981100339e-05,17.7190152117837,2,0,1,0.000187371651013124,13.95366855096654
A3GALT2,2.617891864607023,2.446595317913288,1.0700142542739086,0.4771945942728283,0.5052678046995425,2,0,1,9.311997707894815e-05,15.27131414300311
A4GALT,3.395245004754285,3.083803570687778,1.100992630343523,0.3108557473567314,1.027036410967412,2,0,0,0.2389391597534286,1.38684185398597
A4GNT,2.802408173843875,2.281960880885926,1.2280702080904629,0.01785918287842181,5.609909741520823,2,0,1,6.872381813183281e-06,20.22843418475532
AAAS,1.810367156453744,1.577324035485729,1.1477458757523153,0.05734583790452163,3.612529408776027,3,0,1,4.643892747013822e-07,29.16508536462788
AACS,1.858662413086774,1.77563451756564,1.0467595638064997,0.4811382403817244,0.4962822493616841,3,0,0,0.4859940678563923,1.443117722315947
AADAC,2.227573031293591,3.185373790072388,0.6993129152490982,6.584078393601089e-09,33.65395768827148,3,2,0,1.263837848641813e-05,22.55754492365668
AADACL2,2.026750189766891,2.995054351582432,0.676698968316238,1.010780925625454e-08,32.82040801273979,3,2,0,5.586381863875722e-06,24.19035746388545
AADACL3,4.164145109056396,3.742266296625183,1.1127335093207205,0.0946848963466671,2.792863465780101,3,1,1,1.083922418487759e-08,36.68018883206241
AADACL4,5.617241800215242,4.816985415410467,1.1661322000777916,0.003302026968152183,8.632584926970594,3,2,0,0,118.066211460653
AADAT,1.759453543578697,2.144744855946968,0.8203556421641801,0.008484140702636367,6.92831873716932,3,0,0,0.04207077814874449,6.33680377015844
AAED1,1.50168905423287,1.646416671215991,0.9120953890267464,0.3764391797002521,0.7822982302132004,3,0,0,0.3985714014061051,1.839737242600677
AAGAB,1.332861358406506,1.562098631374707,0.853250448874369,0.1164166254215917,2.46487956477722,3,0,0,0.5993147273359176,1.023936795110785
AAK1,1.019815073881073,1.100713247903012,0.926503860859257,0.2614734639023314,1.260938797408016,3,0,1,2.337887729964017e-06,25.93252543164272
